symbol, stop_percent, profit_percent
DOGE/USD,.,.
BTC/USD,.,.
SNAP,.,.
GM,.,.
F,.,.
AVGO,.,.
AMD,.,.
AES,.,.
MSFT,.,.
AMZN,.,.
COMM,.,.
AAPL,.,.
TSLA,.,.
ETH/USD,.,.
SPY,.,.
INTC,.,.
